시도명,시군구명,종량제봉투종류,종량제봉투처리방식,종량제봉투용도,종량제봉투사용대상,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,광명시,규격봉투,소각용,생활쓰레기,가정용,40,0,60,0,90,140,260,500,0,1240,0,1850,0,0,0,자원순환과,02-2680-2251,2023-06-20,3900000,경기도 광명시
경상북도,울릉군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,100,170,300,0,710,0,1060,0,0,0,환경위생과,054-790-6186,2023-06-16,5260000,경상북도 울릉군
부산광역시,사상구,규격봉투,매립용,생활쓰레기,기타,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,청소행정과,051-310-4335,2024-07-15,3390000,부산광역시 사상구
충청북도,청주시,규격봉투,소각용,생활쓰레기,가정용,0,0,80,0,0,160,310,600,0,1450,0,2170,0,0,0,자원정책과,043-201-4666,2024-08-16,5710000,충청북도 청주시
충청북도,청주시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,310,600,880,0,0,0,0,0,0,자원정책과,043-201-4666,2024-08-16,5710000,충청북도 청주시
충청북도,청주시,특수규격마대,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,0,0,0,6500,0,0,자원정책과,043-201-4666,2024-08-16,5710000,충청북도 청주시
충청북도,청주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1300,0,3500,0,0,0,0,0,자원정책과,043-201-4666,2024-08-16,5710000,충청북도 청주시
경상북도,영양군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,160,300,0,750,0,0,0,0,0,환경보전과,054-680-6522,2024-08-12,5170000,경상북도 영양군
경상북도,영양군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,160,300,0,750,0,0,0,0,0,환경보전과,054-680-6522,2024-08-12,5170000,경상북도 영양군
경상북도,영양군,규격봉투,매립용,음식물쓰레기,가정용,0,0,0,0,50,80,160,300,0,0,0,0,0,0,0,환경보전과,054-680-6522,2024-08-12,5170000,경상북도 영양군
경상북도,영양군,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,160,300,0,0,0,0,0,0,0,환경보전과,054-680-6522,2024-08-12,5170000,경상북도 영양군
인천광역시,강화군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,2780,0,0,0,환경위생과,032-930-3336,2024-08-13,3570000,인천광역시 강화군
인천광역시,강화군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,0,0,0,0,환경위생과,032-930-3336,2024-08-13,3570000,인천광역시 강화군
인천광역시,강화군,규격봉투,기타,음식물쓰레기,가정용,0,0,120,0,180,300,600,0,0,0,0,0,0,0,0,환경위생과,032-930-3336,2024-08-13,3570000,인천광역시 강화군
경상북도,안동시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,80,150,300,0,720,0,1080,0,0,0,자원순환과,054-840-5291,2024-08-16,5070000,경상북도 안동시
경상북도,안동시,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,70,120,230,460,0,0,0,0,0,0,0,자원순환과,054-840-5291,2024-08-16,5070000,경상북도 안동시
경상북도,안동시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,150,300,0,0,0,0,0,0,0,자원순환과,054-840-5291,2024-08-16,5070000,경상북도 안동시
경상북도,안동시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,80,150,0,0,0,0,0,0,0,0,자원순환과,054-840-5291,2024-08-16,5070000,경상북도 안동시
경상북도,성주군,규격봉투,기타,생활쓰레기,가정용,0,0,0,0,0,80,150,300,440,720,0,1070,0,0,0,자원순환사업소,054-930-6193,2024-08-14,5210000,경상북도 성주군
전북특별자치도,남원시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,80,160,280,410,700,0,0,1350,0,0,전북특별자치도 남원시 환경과,063-620-6244,2024-08-16,4701000,전북특별자치도 남원시
전북특별자치도,남원시,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,80,160,280,410,700,0,0,1350,0,0,전북특별자치도 남원시 환경과,063-620-6244,2024-08-16,4701000,전북특별자치도 남원시
서울특별시,성동구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,740,1250,0,0,0,0,0,청소행정과,02-2286-5528,2024-08-06,3030000,서울특별시 성동구
서울특별시,성동구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,740,1250,0,0,0,0,0,청소행정과,02-2286-5528,2024-08-06,3030000,서울특별시 성동구
서울특별시,성동구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,520,780,1330,0,2000,0,0,0,청소행정과,02-2286-5528,2024-08-06,3030000,서울특별시 성동구
서울특별시,성동구,규격봉투,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,520,780,1330,0,2000,0,0,0,청소행정과,02-2286-5528,2024-08-06,3030000,서울특별시 성동구
서울특별시,성동구,규격봉투,매립용,음식물쓰레기,가정용,100,0,190,0,300,500,0,0,0,0,0,0,0,0,0,청소행정과,02-2286-5528,2024-08-06,3030000,서울특별시 성동구
경기도,하남시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,80,130,260,500,0,1240,0,1860,2470,0,0,자원순환과,031-790-5256,2023-06-27,4040000,경기도 하남시
부산광역시,중구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,1280,4490,0,6590,0,0,0,자원순환과,051-600-4434,2023-12-22,3250000,부산광역시 중구
충청남도,예산군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,60,100,200,400,600,1000,0,1500,0,0,0,환경과,041-339-7522,2024-01-02,4610000,충청남도 예산군
경상남도,진주시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,160,300,590,0,1430,0,2140,0,0,0,청소과,055-749-8705,2023-12-21,5310000,경상남도 진주시
경기도,동두천시,규격봉투,기타,음식물쓰레기,가정용,30,0,50,0,70,120,250,550,0,0,0,0,0,0,0,경기도 동두천시청 환경보호과,031-860-2100,2024-06-26,3920000,경기도 동두천시
경기도,과천시,규격봉투,소각용,생활쓰레기,가정용,0,0,60,0,70,120,230,440,0,1100,0,1650,0,0,0,자원위생과,02-3677-2416,2024-06-26,3970000,경기도 과천시
경기도,과천시,규격봉투,소각용,음식물쓰레기,가정용,30,0,60,0,70,120,230,440,0,1100,0,0,0,0,0,자원위생과,02-3677-2416,2024-06-26,3970000,경기도 과천시
경기도,과천시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,230,440,0,0,0,0,0,0,0,자원위생과,02-3677-2416,2024-06-26,3970000,경기도 과천시
충청남도,태안군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,180,350,0,0,0,0,0,0,0,충청남도 태안군 환경산림과,041-670-2795,2024-07-03,4620000,충청남도 태안군
인천광역시,동구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,2780,0,0,0,자원순환과,032-770-6412,2024-07-04,3500000,인천광역시 동구
인천광역시,동구,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,자원순환과,032-770-6423,2024-07-04,3500000,인천광역시 동구
인천광역시,동구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,2560,0,3470,0,0,0,자원순환과,032-770-6412,2024-07-04,3500000,인천광역시 동구
인천광역시,동구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,자원순환과,032-770-6412,2024-07-04,3500000,인천광역시 동구
경상북도,구미시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,300,600,0,1500,0,2250,0,0,0,자원순환과,054-480-5205,2024-06-22,5080000,경상북도 구미시
경상북도,구미시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,자원순환과,054-480-5205,2024-06-22,5080000,경상북도 구미시
경상북도,구미시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,300,600,0,0,0,0,0,0,0,자원순환과,054-480-5205,2024-06-22,5080000,경상북도 구미시
경상북도,구미시,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,자원순환과,054-480-5205,2024-06-22,5080000,경상북도 구미시
경상남도,합천군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,170,350,520,860,0,1320,0,0,0,환경위생과,055-930-3304,2024-07-08,5480000,경상남도 합천군
대구광역시,수성구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,120,180,340,670,0,1660,0,2470,0,0,0,자원순환과,053-666-2716,2024-07-11,3460000,대구광역시 수성구
경상남도,거제시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,150,250,350,650,0,0,0,0,0,0,0,자원순환과,055-639-4813,2024-07-11,5370000,경상남도 거제시
경상남도,거제시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1800,0,2750,0,0,0,자원순환과,055-639-4813,2024-07-11,5370000,경상남도 거제시
서울특별시,송파구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,0,1250,0,1880,0,0,0,청소행정과,02-2147-2840,2022-12-12,3230000,서울특별시 송파구
서울특별시,송파구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,0,1250,0,1880,0,0,0,청소행정과,02-2147-2840,2022-12-12,3230000,서울특별시 송파구
서울특별시,송파구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,청소행정과,02-2147-2840,2022-12-12,3230000,서울특별시 송파구
서울특별시,송파구,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,청소행정과,02-2147-2840,2022-12-12,3230000,서울특별시 송파구
