기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,제외여부,제외사유,초등1학년전입학생수(명),초등1학년전출학생수(명),초등1학년전체학생수(명),초등2학년전입학생수(명),초등2학년전출학생수(명),초등2학년전체학생수(명),초등3학년전입학생수(명),초등3학년전출학생수(명),초등3학년전체학생수(명),초등4학년전입학생수(명),초등4학년전출학생수(명),초등4학년전체학생수(명),초등5학년전입학생수(명),초등5학년전출학생수(명),초등5학년전체학생수(명),초등6학년전입학생수(명),초등6학년전출학생수(명),초등6학년전체학생수(명),중등1학년전입학생수(명),중등1학년전출학생수(명),중등1학년전체학생수(명),중등2학년전입학생수(명),중등2학년전출학생수(명),중등2학년전체학생수(명),중등3학년전입학생수(명),중등3학년전출학생수(명),중등3학년전체학생수(명),고등1학년전입학생수(명),고등1학년전출학생수(명),고등1학년전체학생수(명),고등2학년전입학생수(명),고등2학년전출학생수(명),고등2학년전체학생수(명),고등3학년전입학생수(명),고등3학년전출학생수(명),고등3학년전체학생수(명),전입학생수합계(명),전출학생수합계(명),전체학생수합계(명)
2020,고양시,교육부,경기도 고양시 일산동구,한국경진학교,,국립,N,,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,14,0,0,12,1,0,12,0,0,14,0,0,14,1,0,150
2020,고양시,경기도교육청,경기도 고양시 일산서구,홀트학교,,사립,N,,1,1,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,1,6,0,0,6,0,0,0,0,0,0,0,0,0,1,2,54
2020,고양시,경기도교육청,경기도 고양시 덕양구,명현학교,,사립,N,,1,0,12,0,0,12,1,1,11,3,0,9,0,0,12,0,0,12,0,0,12,2,0,8,0,1,12,0,0,13,1,0,8,0,0,12,8,2,133
2020,고양시,경기도교육청,경기도 고양시 일산서구,밝은학교,,사립,Y,(특수학교)유치부 및 전공과 학생은 정보공시 학생 수 관련 입력에 불포함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,광주시,경기도교육청,경기도 광주시,광주새롬학교,,사립,N,,0,0,6,0,0,7,0,0,6,0,0,5,0,0,4,0,0,1,0,0,1,0,0,0,1,0,2,0,0,7,0,0,4,0,0,6,1,0,49
2020,광주시,경기도교육청,경기도 광주시,인덕학교,,사립,N,,0,0,6,1,0,6,0,0,6,0,0,6,0,0,7,0,1,7,0,0,8,0,0,12,0,1,11,1,0,8,0,0,11,0,0,11,2,2,99
2020,광주시,경기도교육청,경기도 광주시,동현학교,,사립,N,,0,0,6,1,0,5,0,0,8,1,0,2,1,0,3,0,0,2,0,0,3,2,0,1,0,0,4,0,0,6,0,0,4,0,0,7,5,0,51
2020,광주시,경기도교육청,경기도 광주시,한사랑학교,,사립,N,,0,2,12,0,2,5,0,1,9,0,1,8,0,0,10,0,0,6,0,1,5,0,0,6,0,0,6,0,0,3,0,1,4,0,0,3,0,8,77
2020,김포시,경기도교육청,경기도 김포시,새솔학교,,공립,N,,0,0,12,0,0,6,0,0,6,0,0,6,0,1,6,0,0,6,0,0,12,1,1,15,0,0,18,0,0,21,1,1,12,0,1,20,2,4,140
2020,남양주시,경기도교육청,경기도 남양주시,경은학교,,공립,N,,0,0,12,1,1,12,0,0,13,1,0,12,0,0,13,1,0,12,0,0,15,0,0,12,1,0,11,0,1,15,1,0,11,0,0,17,5,2,155
2020,부천시,경기도교육청,경기도 부천시,부천혜림학교,,사립,N,,0,0,6,0,0,6,0,0,6,0,0,5,1,0,6,0,0,6,0,0,4,0,0,5,1,1,6,0,0,6,0,0,7,0,0,9,2,1,72
2020,부천시,경기도교육청,경기도 부천시,부천상록학교,,공립,N,,0,0,18,0,0,18,0,0,18,1,1,18,0,0,12,0,0,12,1,0,18,1,0,16,1,1,18,2,2,20,0,0,22,0,1,19,6,5,209
2020,성남시,경기도교육청,경기도 성남시 수정구,성남혜은학교,,공립,N,,1,1,12,0,1,12,1,1,6,1,0,6,0,2,6,0,0,11,1,0,9,0,0,12,0,0,11,1,0,10,0,0,17,0,0,16,5,5,128
2020,성남시,경기도교육청,경기도 성남시 분당구,성은학교,,공립,N,,1,1,12,1,0,12,0,1,12,1,1,6,0,0,8,1,0,12,0,0,10,0,0,18,0,0,14,0,0,17,0,0,22,0,1,11,4,4,154
2020,수원시,경기도교육청,경기도 수원시 장안구,수원서광학교,,사립,N,,1,0,12,0,0,12,1,1,11,1,0,12,0,1,12,1,1,12,2,1,10,1,0,11,0,0,11,0,0,14,1,0,12,0,0,13,8,4,142
2020,수원시,경기도교육청,경기도 수원시 권선구,자혜학교,,사립,N,,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,3,0,0,6,0,0,5,0,0,7,0,0,69
